,Log,Runtime,Relations,Parameter
0,01_ocel_standard_container_logistics.json,68.10524868965149,"{""{'Customer Order', 'Forklift', 'Truck'} Overlap Subset Synchronization{'Handling Unit', 'Transport Document'}"", ""{'Customer Order', 'Forklift', 'Truck'} Strict Synchronization{'Handling Unit', 'Transport Document'}"", ""{'Handling Unit'} Strict Synchronization {'Transport Document'}"", ""{'Truck'} Strict Synchronization {'Customer Order', 'Forklift'}"", ""{'Customer Order'} Strict Synchronization {'Forklift'}""}",0.99
1,01_ocel_standard_container_logistics.json,11.96776556968689,"{""{'Transport Document'} Strict Synchronization {'Truck'}"", ""{'Vehicle'} Strict Synchronization {'Forklift', 'Handling Unit'}"", ""{'Customer Order', 'Container'} Strict Synchronization{'Transport Document', 'Truck'}"", ""{'Customer Order', 'Container'} Partition Subset Synchronization{'Transport Document', 'Truck'}"", ""{'Forklift'} Strict Synchronization {'Handling Unit'}"", ""{'Container'} Strict Synchronization {'Customer Order'}""}",0.95
2,01_ocel_standard_container_logistics.json,18.133968830108643,"{""{'Forklift'} Strict Synchronization {'Handling Unit'}"", ""{'Container'} Partition Subset Synchronization{'Vehicle', 'Truck'}"", ""{'Truck'} Strict Synchronization {'Vehicle'}"", ""{'Container'} Strict Synchronization{'Vehicle', 'Truck'}""}",0.9
3,01_ocel_standard_container_logistics.json,16.81980299949646,"{""{'Forklift'} Strict Synchronization {'Handling Unit'}"", ""{'Container'} Partition Subset Synchronization{'Vehicle', 'Truck'}"", ""{'Truck'} Strict Synchronization {'Vehicle'}"", ""{'Container'} Strict Synchronization{'Vehicle', 'Truck'}""}",0.85
4,01_ocel_standard_container_logistics.json,8.568109512329102,"{""{'Container'} Partition Subset Synchronization{'Truck'}"", ""{'Forklift'} Strict Synchronization {'Handling Unit'}"", ""{'Container'} Strict Synchronization{'Truck'}""}",0.8
5,01_ocel_standard_container_logistics.json,7.557905435562134,"{""{'Container'} Partition Subset Synchronization{'Truck'}"", ""{'Forklift'} Strict Synchronization {'Handling Unit'}"", ""{'Container'} Strict Synchronization{'Truck'}""}",0.75
6,01_ocel_standard_container_logistics.json,7.679691314697266,"{""{'Container'} Partition Subset Synchronization{'Truck'}"", ""{'Forklift'} Strict Synchronization {'Handling Unit'}"", ""{'Container'} Strict Synchronization{'Truck'}""}",0.7
7,01_ocel_standard_container_logistics.json,5.372058868408203,"{""{'Container'} Overlap Subset Synchronization{'Handling Unit'}"", ""{'Container'} Strict Synchronization{'Handling Unit'}""}",0.65
8,01_ocel_standard_container_logistics.json,5.454158544540405,"{""{'Container'} Overlap Subset Synchronization{'Handling Unit'}"", ""{'Container'} Strict Synchronization{'Handling Unit'}""}",0.6
9,01_ocel_standard_container_logistics.json,4.164778470993042,"{""{'Handling Unit'} Strict Synchronization{'Truck', 'Container'}"", ""{'Container'} Strict Synchronization {'Truck'}"", ""{'Handling Unit'} Overlap Subset Synchronization{'Truck', 'Container'}""}",0.55
10,01_ocel_standard_container_logistics.json,4.092542409896851,"{""{'Handling Unit'} Strict Synchronization{'Truck', 'Container'}"", ""{'Container'} Strict Synchronization {'Truck'}"", ""{'Handling Unit'} Overlap Subset Synchronization{'Truck', 'Container'}""}",0.5
11,02_ocel_standard_order_management.json,84.83402037620544,"{""{'customers'} Strict Synchronization {'packages'}"", ""{'orders'} Strict Synchronization{'customers', 'packages'}"", ""{'orders'} Partition Subset Synchronization{'customers', 'packages'}""}",0.99
12,02_ocel_standard_order_management.json,31.495025157928467,"{""{'items', 'products'} Concurrent Implication {'employees', 'customers', 'packages', 'orders'}"", ""{'employees'} Strict Synchronization{'orders'}"", ""{'items'} Strict Synchronization {'products'}"", ""{'customers', 'packages'} Strict Synchronization {'employees', 'orders'}"", ""{'items'} Concurrent Implication {'products'}"", ""{'customers'} Strict Synchronization {'packages'}"", ""{'employees'} Overlap Subset Synchronization{'orders'}""}",0.95
13,02_ocel_standard_order_management.json,27.968066215515137,"{""{'employees'} Strict Synchronization{'orders'}"", ""{'items'} Strict Synchronization {'products'}"", ""{'customers', 'packages'} Strict Synchronization {'employees', 'orders'}"", ""{'products'} Overlap Subset Synchronization{'employees', 'customers', 'packages', 'orders'}"", ""{'products'} Strict Synchronization{'employees', 'customers', 'packages', 'orders'}"", ""{'customers'} Strict Synchronization {'packages'}"", ""{'employees'} Overlap Subset Synchronization{'orders'}""}",0.9
14,02_ocel_standard_order_management.json,25.721797466278076,"{""{'employees'} Strict Synchronization{'orders'}"", ""{'items'} Strict Synchronization{'products'}"", ""{'items'} Strict Synchronization {'products'}"", ""{'customers', 'packages'} Strict Synchronization {'employees', 'orders'}"", ""{'customers'} Strict Synchronization {'packages'}"", ""{'items'} Overlap Subset Synchronization{'products'}"", ""{'employees'} Overlap Subset Synchronization{'orders'}""}",0.85
